HDU,Name,DataType,Multiplicity,Required,Description,Comments
0,PRIMARY,PrimaryHDU,False,True,EPRV Standard FITS HEADER (no data),Carried forward from L2 FITS file
1,INSTRUMENT_HEADER,ImageHDU,False,True,Inherited instrument header (no data),Carried forward from L2 FITS file
2,RECEIPT,BinTableHDU,False,True,Table of operations that have been performed on this file,
3,DRP_CONFIG,BinTableHDU,False,True,Pipeline details (settings etc) to go from native data to L2
4,STITCHED_CORR_TRACE1_FLUX,ImageHDU,True,True,Order stitched blaze-corrected flux in trace 1,This flux array stitches together all orders and has been blaze corrected
5,STITCHED_CORR_TRACE1_WAVE,ImageHDU,True,True,Order stitched BC- and drift-corrected wavelength solution for trace 1,This wavelength solution stitches together all orders adn has been both drift and barycentric corrected
6,STITCHED_CORR_TRACE1_VAR,ImageHDU,True,True,Order stitched variance for the flux in STITCHED_CORR_TRACE1_FLUX,This variance array stitches together all orders and is based on the blaze corrected flux (STITCHED_CORR_TRACE1_FLUX)
7,COADD_STITCHED_CORR_FLUX,ImageHDU,True,True,Order stitched and blaze-corrected flux co-added across all traces,This flux array stitches together all orders and co-adds all traces and has been blaze corrected
8,COADD_STITCHED_CORR_WAVE,ImageHDU,True,True,Order stitched BC- and drift-corrected wavelength solution,This wavelength solution stitches together all orders and has been both drift and barycentric corrected
9,COADD_STITCHED_CORR_VAR,ImageHDU,True,True,Order stitched variance for the coadded flux in COADD_STITCHED_CORR_FLUX,This variance array stitches together all orders and is based on the co-added and blaze corrected flux (STITCHED_COADD_CORR_FLUX)
10,STITCHED_CUSTOMCORR1_TRACE1_FLUX,ImageHDU,True,False,Additional corrections made to STITCHED_CORR_TRACE1_FLUX,This could include additional corrections such as telluric or sky corrections
11,STITCHED_CUSTOMCORR1_TRACE1_WAVE,ImageHDU,True,False,Wavelength solution corresponding to STITCHED_CUSTOMCORR1_TRACE1_FLUX,Wavelength solution corresponding to the flux array in STITCHED_CUSTOMCORR1_TRACE1_FLUX
12,STITCHED_CUSTOMCORR1_TRACE1_VAR,ImageHDU,True,False,Variance corresponding to STITCHED_CUSTOMCORR1_TRACE1_FLUX,Variance of the CUSTOMCORR1_TRACE1_FLUX flux array
13,COADD_STITCHED_CUSTOMCORR1_FLUX,ImageHDU,True,False,Additional corrections made to COADD_STITCHED_CORR_FLUX,This could include additional corrections such as telluric or sky corrections
14,COADD_STITCHED_CUSTOMCORR1_WAVE,ImageHDU,True,False,Wavelength solution corresponding to COADD_STITCHED_CORR_WAVE,Wavelength solution corresponding to the flux array in COADD_STITCHED_CUSTOMCORR1_FLUX
15,COADD_STITCHED_CUSTOMCORR1_VAR,ImageHDU,True,False,Variance corresponding to COADD_STITCHED_CORR_VAR,Variance of the COADD_STITCHED_CUSTOMCORR1_FLUX flux array
